iter	Passed	Remaining
711	972	393
712	973	391
713	974	390
714	974	388
715	975	386
716	976	385
717	977	383
718	978	382
719	978	380
720	980	379
721	981	377
722	982	376
723	983	374
724	984	373
725	985	371
726	985	370
727	986	368
728	987	367
729	988	365
730	989	364
731	990	362
732	991	361
733	991	359
734	992	357
735	993	356
736	995	355
737	996	353
738	997	352
739	998	350
740	999	349
741	1000	347
742	1001	346
743	1002	344
744	1002	343
745	1003	341
746	1004	340
747	1005	338
748	1006	337
749	1007	335
750	1008	334
751	1009	332
752	1010	331
753	1012	330
754	1013	328
755	1014	327
756	1014	325
757	1015	324
758	1016	322
759	1017	321
760	1018	319
761	1019	318
762	1019	316
763	1021	315
764	1022	314
765	1023	312
766	1024	311
767	1026	309
768	1027	308
769	1028	307
770	1029	305
771	1029	304
772	1030	302
773	1031	301
774	1032	299
775	1033	298
776	1034	296
777	1035	295
778	1035	293
779	1037	292
780	1038	291
781	1040	289
782	1041	288
783	1042	287
784	1043	285
785	1044	284
786	1045	282
787	1046	281
788	1047	280
789	1048	278
790	1049	277
791	1050	275
792	1051	274
793	1052	272
794	1053	271
795	1055	270
796	1056	268
797	1056	267
798	1058	266
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1062	259
804	1063	257
805	1064	256
806	1065	254
807	1066	253
808	1067	251
809	1068	250
810	1069	249
811	1070	247
812	1071	246
813	1072	245
814	1073	243
815	1074	242
816	1075	240
817	1075	239
818	1076	237
819	1077	236
820	1078	235
821	1079	233
822	1080	232
823	1081	230
824	1082	229
825	1083	228
826	1084	226
827	1085	225
828	1086	224
829	1087	222
830	1087	221
831	1088	219
832	1089	218
833	1090	217
834	1091	215
835	1092	214
836	1093	212
837	1094	211
838	1094	210
839	1095	208
840	1096	207
841	1097	205
842	1098	204
843	1099	203
844	1100	201
845	1101	200
846	1102	199
847	1103	197
848	1104	196
849	1105	195
850	1106	193
851	1106	192
852	1107	190
853	1108	189
854	1109	188
855	1110	186
856	1111	185
857	1112	184
858	1113	182
859	1114	181
860	1115	180
861	1116	178
862	1117	177
863	1117	175
864	1118	174
865	1119	173
866	1120	171
867	1121	170
868	1122	169
869	1122	167
870	1123	166
871	1124	165
872	1125	163
873	1126	162
874	1127	161
875	1129	159
876	1130	158
877	1131	157
878	1132	155
879	1132	154
880	1133	153
881	1134	151
882	1135	150
883	1136	149
884	1137	147
885	1138	146
886	1139	145
887	1139	143
888	1140	142
889	1142	141
890	1143	139
891	1144	138
892	1145	137
893	1146	135
894	1147	134
895	1148	133
896	1149	131
897	1149	130
898	1150	129
899	1151	127
900	1152	126
901	1153	125
902	1154	124
903	1155	122
904	1156	121
905	1157	120
906	1158	118
907	1159	117
908	1160	116
909	1161	114
910	1162	113
911	1163	112
912	1164	110
913	1165	109
914	1166	108
915	1167	107
916	1167	105
917	1168	104
918	1169	103
919	1170	101
920	1171	100
921	1173	99
922	1174	97
923	1174	96
924	1175	95
925	1176	94
926	1177	92
927	1178	91
928	1179	90
929	1180	88
930	1180	87
931	1181	86
932	1182	84
933	1183	83
934	1184	82
935	1185	81
936	1186	79
937	1187	78
938	1188	77
939	1189	75
940	1190	74
941	1191	73
942	1192	72
943	1192	70
944	1193	69
945	1194	68
946	1195	66
947	1196	65
948	1197	64
949	1198	63
950	1198	61
951	1199	60
952	1200	59
953	1201	57
954	1202	56
955	1203	55
956	1205	54
957	1205	52
958	1206	51
959	1207	50
960	1208	49
961	1209	47
962	1210	46
963	1211	45
964	1212	43
965	1213	42
966	1214	41
967	1215	40
968	1216	38
969	1217	37
970	1218	36
971	1219	35
972	1220	33
973	1220	32
974	1221	31
975	1222	30
976	1223	28
977	1224	27
978	1225	26
979	1226	25
980	1227	23
981	1227	22
982	1228	21
983	1229	19
984	1231	18
985	1232	17
986	1233	16
987	1234	14
988	1235	13
989	1236	12
990	1237	11
991	1237	9
992	1238	8
993	1239	7
994	1240	6
995	1241	4
996	1242	3
997	1243	2
998	1244	1
999	1246	0
